Time:21:38:15:190  [132] 0 -1.392,-66.908,-67.991,-90.632,-297.234,-152.240,0.000,0.000,0.000
Time:21:38:15:258  [133] 0
Time:21:38:15:277  [134] 0
Time:21:38:21:545  [132] Robot.WhereAngle 1
Time:21:38:21:549  [133] RopeEncLoc=-5.703,-93.693,-51.959,-115.510,-293.710,-139.029
Time:21:38:21:553  [134] Move.Joint RopeEncLoc
Time:21:38:23:102  [134] 1
Time:21:38:33:125  [135] 0 -5.703,-93.693,-51.957,-115.509,-293.711,-139.029,0.000,0.000,0.000
Time:21:38:33:223  [136] 0
Time:21:38:33:245  [137] 0
Time:21:38:39:332  [135] Robot.WhereAngle 1
Time:21:38:39:334  [136] RopeEncLoc=43.648,-101.920,-50.276,-148.093,-256.206,-123.362
Time:21:38:39:335  [137] Move.Joint RopeEncLoc
Time:21:38:43:240  [137] 1
Time:21:38:53:251  [138] 0 43.648,-101.922,-50.275,-148.093,-256.207,-123.361,0.000,0.000,0.000
Time:21:38:53:337  [139] 0
Time:21:38:53:360  [140] 0
Time:21:38:59:670  [138] Robot.WhereAngle 1
Time:21:38:59:672  [139] RopeEncLoc=71.767,-92.963,-42.275,-196.847,-237.193,-101.708
Time:21:38:59:674  [140] Move.Joint RopeEncLoc
Time:21:39:3:286  [140] 1
Time:21:39:13:319  [141] 0 71.767,-92.964,-42.271,-196.845,-237.194,-101.707,0.000,0.000,0.000
Time:21:39:13:413  [142] 0
Time:21:39:13:437  [143] 0
Time:21:39:19:488  [141] Robot.WhereAngle 1
Time:21:39:19:491  [142] RopeEncLoc=99.417,-108.849,-16.955,-191.809,-212.395,-92.859
Time:21:39:19:494  [143] Move.Joint RopeEncLoc
Time:21:39:21:338  [143] 1
Time:21:39:31:360  [144] 0 99.416,-108.848,-16.954,-191.808,-212.395,-92.858,0.000,0.000,0.000
Time:21:39:31:449  [145] 0
Time:21:39:31:467  [146] 0
Time:21:39:37:809  [144] Robot.WhereAngle 1
Time:21:39:37:811  [145] RopeEncLoc=109.656,-123.010,5.438,-154.474,-198.858,-77.800
Time:21:39:37:813  [146] Move.Joint RopeEncLoc
Time:21:39:40:210  [146] 1
Time:21:39:50:230  [147] 0 109.655,-123.012,5.439,-154.472,-198.859,-77.800,0.000,0.000,0.000
Time:21:39:50:303  [148] 0
Time:21:39:50:327  [149] 0
Time:21:39:56:611  [147] Robot.WhereAngle 1
Time:21:39:56:613  [148] RopeEncLoc=93.623,-130.535,22.616,-148.395,-156.333,-65.882
Time:21:39:56:617  [149] Move.Joint RopeEncLoc
Time:21:39:59:550  [149] 1
Time:21:40:9:571  [150] 0 93.622,-130.537,22.619,-148.393,-156.334,-65.882,0.000,0.000,0.000
Time:21:40:9:640  [151] 0
Time:21:40:9:658  [152] 0
Time:21:40:15:925  [150] Robot.WhereAngle 1
Time:21:40:15:928  [151] RopeEncLoc=78.102,-141.255,53.820,-131.365,-127.829,-46.560
Time:21:40:15:929  [152] Move.Joint RopeEncLoc
Time:21:40:17:875  [152] 1
Time:21:40:27:896  [153] 0 78.102,-141.255,53.821,-131.363,-127.828,-46.561,0.000,0.000,0.000
Time:21:40:27:996  [154] 0
Time:21:40:28:15  [155] 0
Time:21:40:34:228  [153] Robot.WhereAngle 1
Time:21:40:34:229  [154] RopeEncLoc=67.254,-158.104,77.892,-116.030,-103.395,-32.711
Time:21:40:34:231  [155] Move.Joint RopeEncLoc
Time:21:40:35:595  [155] 1
Time:21:40:45:618  [156] 0 67.255,-158.108,77.892,-116.027,-103.395,-32.709,0.000,0.000,0.000
Time:21:40:45:706  [157] 0
Time:21:40:45:726  [158] 0
Time:21:40:52:31  [156] Robot.WhereAngle 1
Time:21:40:52:33  [157] RopeEncLoc=60.820,-140.999,89.723,-126.728,-76.608,-23.996
Time:21:40:52:36  [158] Move.Joint RopeEncLoc
Time:21:40:53:537  [158] 1
