build,HE3-V3-V1-ANALYTIC-20260819-R3
status,1
iterations,7
active_count,7
rank,7
condition,2824.67484078899
mae_before_mm,89.8375133076365
mae_after_mm,3.75094851592724
max_before_mm,138.2145993777
max_after_mm,19.8233521186433
result_slot,value_before_gui_unit_conversion
0,0
1,0
2,6e-07
3,-0.0722572023167409
4,0.333302556939515
5,-0.00442586401024683
6,-0
7,-2.0637850217214
8,-10.9101010359751
9,-2.17452085993669
10,-30.3966362253443
11,-0
point,rope_raw_mm,rope_with_fixed_offset_mm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q7_rad,residual_before_mm,residual_after_mm
19,660.030182,722.530182,-0.51553534566,-0.382506352342222,0.214762760794444,-1.08650234741778,1.31826461483667,-0.582939960222222,-1.25408885933556,-93.1035290260211,19.8233521186433
20,764.287218,826.787218,-0.350462107822222,-0.107477373504444,0.189298407442222,-1.40413481257,1.53438873242444,-0.0903556938344444,-1.45303893737667,-129.855354720857,-0.942822466126314
21,741.629817,804.129817,-0.558173738558889,-0.182631249813333,0.301191463878889,-1.44157212438667,1.47571076397333,-0.116919604596667,-1.51567880316222,-135.699895686115,-1.10892360218007
22,725.068435,787.568435,-0.743283355867778,-0.240419100361111,0.371091899228889,-1.42612596077,1.36540595712889,-0.228603221526667,-1.60566797786,-126.141364578687,0.885056484135394
23,696.437847,758.937847,-0.859435015606667,-0.349118204321111,0.4932300382,-1.34004632353,1.42387448607333,-0.275639844065556,-1.63237151496,-128.262934292781,-2.88228234523114
24,694.798905,757.298905,-0.892700990582222,-0.452040268555556,0.680573676913333,-1.31620512635444,1.36284032317222,-0.251711380428889,-1.75655168912111,-131.494605490478,3.07108508252585
25,663.84502,726.34502,-0.943158458396667,-0.570181603607778,0.690818759447778,-1.21207878495667,1.35352026512556,-0.215181639807778,-1.80554308038889,-130.450825433594,-9.19938885865723
26,676.626658,739.126658,-0.980665583382222,-0.404759299925556,0.690818759447778,-1.23712425929556,1.31877076031111,-0.271084534795556,-1.84195064796444,-118.074438608834,-8.19182926117012
27,695.739454,758.239454,-1.01340795959111,-0.312605916992222,0.69083621274,-1.26559057891,1.25853944885222,-0.257278980647778,-1.88588058448778,-109.147866089884,-7.12463069005231
28,742.995016,805.495016,-1.04724989321,-0.189263500857778,0.69083621274,-1.38980565965556,1.34962818096,-0.311314373367778,-1.95791032148889,-111.045269404455,-0.971254852239034
29,767.329964,829.829964,-1.10786517709778,-0.107808986056667,0.662492066171111,-1.44736661740444,1.30723413415222,-0.366257337283333,-2.01493022717889,-106.253336012525,1.02988393409187
30,783.607075,846.107075,-1.17038286983778,-0.0515395719322222,0.66680302935,-1.47707212076667,1.22811836050889,-0.383239390615556,-2.07020480364667,-102.108236020272,2.36649991729454
31,806.896189,869.396189,-1.19281035034333,-0.0656243787555555,0.959337660286667,-1.47707212076667,1.22811836050889,-0.0900938944511111,-2.00740785823111,-107.53949005805,-2.83609926024997
32,801.519618,864.019618,-1.24190646136444,-0.0866032360066667,0.965673205363333,-1.50215250169,1.22813581380111,-0.124354707083333,-1.95342482538778,-111.080355974341,-0.989702378576429
33,864.904892,927.404892,-1.15137623460778,0.0419053546255556,0.965690658655555,-1.56751508106222,1.32287228398333,-0.0917694105044444,-1.88300079127111,-109.672345141298,1.24462735822173
34,883.649189,946.149189,-1.11545735921444,0.0553618429288889,0.983964255612222,-1.57926114672778,1.46146887752,-0.0709650861755556,-1.79686879415444,-117.94727241757,3.23199147496989
35,910.819822,973.319822,-1.00153972088,0.0715934046955556,0.988746457681111,-1.57922624014333,1.47829385122222,0.0941081516622222,-1.74372351933778,-121.18932344446,-0.912429330075293
36,877.096933,939.596933,-0.957906490324444,-0.0276111082955556,0.975831021436667,-1.57674787264778,1.41577615848222,0.175265960495556,-1.68310823545,-128.697575493802,-1.99049177611166
37,885.249526,947.749526,-0.840969432435556,-0.0493404571122222,0.950157228577778,-1.56220928022667,1.37301559253778,0.243141813947778,-1.62046836966444,-125.699922698636,-1.43467464331026
38,869.537446,932.037446,-0.818000899871111,-0.0911410919844445,0.934553985331111,-1.56217437364222,1.35702837686222,0.28792696179,-1.55950401993222,-130.903133885772,-2.17024025350643
39,848.63831,911.13831,-0.78822558334,-0.149138382038889,0.934553985331111,-1.53028720875222,1.27292096164333,0.314054540246667,-1.43923338322889,-128.492377814727,-2.68169882947067
